# PlayerID,PlayerName,PlayerPosition,TeamAbbName,TeamID,GP,MIN,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,RBO,RBD,RBT,AST,TO,STL,BLK,PF,PPG,TR
# LASTUPDATED: 2013/04/19 @ 14:01:49
# NOTE: Thank-you for supporting this site.
# COPYRIGHT: Copyright 2013 SPXStats.com
"# DISCLAIMER: This file is provided 'as is' with no warranties whatsoever, and is to be used for entertainment purposes only. By opening this file, you agree to our Terms of Service found at http://www.SportsInteractive.com/terms.asp."
# VERSION: 5.0
# ROWCOUNT: 469
# TRADECOUNT: 66
# SOURCECOUNT: 30
,Josh Smith,,,,76,,,,46.5,,,30.3,,,51.7,,,,,,,,,17.5
,Al Horford,,,,74,,,,54.3,,,50.0,,,64.4,,,,,,,,,17.4
,Jeff Teague,,,,80,,,,45.1,,,35.9,,,88.1,,,,,,,,,14.6
,Lou Williams,,,,39,,,,42.2,,,36.7,,,86.8,,,,,,,,,14.1
,Kyle Korver,,,,74,,,,46.1,,,45.7,,,85.9,,,,,,,,,10.9
,Devin Harris,,,,58,,,,43.8,,,33.5,,,72.7,,,,,,,,,9.9
,Ivan Johnson,,,,69,,,,52.0,,,7.7,,,61.8,,,,,,,,,6.6
,John Jenkins,,,,61,,,,44.6,,,38.4,,,84.3,,,,,,,,,6.1
,Zaza Pachulia,,,,52,,,,47.3,,,0.0,,,75.7,,,,,,,,,5.9
,DeShawn Stevenson,,,,56,,,,37.4,,,36.4,,,52.2,,,,,,,,,5.1
,Shelvin Mack,,,,31,,,,46.0,,,36.7,,,56.3,,,,,,,,,4.6
,Mike Scott,,,,40,,,,47.6,,,0.0,,,76.8,,,,,,,,,4.6
,Anthony Tolliver,,,,62,,,,38.0,,,33.8,,,86.3,,,,,,,,,4.1
,Johan Petro,,,,31,,,,43.6,,,25.0,,,91.7,,,,,,,,,3.5
,Dahntay Jones,,,,78,,,,36.9,,,22.4,,,77.0,,,,,,,,,3.4
,Jeremy Tyler,,,,21,,,,37.5,,,N/A,,,66.7,,,,,,,,,1.0
,Brook Lopez,,,,74,,,,52.1,,,0.0,,,75.8,,,,,,,,,19.4
,Deron Williams,,,,78,,,,44.0,,,37.8,,,85.9,,,,,,,,,18.9
,Joe Johnson,,,,72,,,,42.3,,,37.5,,,82.0,,,,,,,,,16.3
,Andray Blatche,,,,82,,,,51.2,,,13.6,,,68.5,,,,,,,,,10.3
,Gerald Wallace,,,,69,,,,39.7,,,28.2,,,63.7,,,,,,,,,7.7
,C.J. Watson,,,,80,,,,41.8,,,41.1,,,78.0,,,,,,,,,6.8
,Kris Humphries,,,,65,,,,44.8,,,0.0,,,78.9,,,,,,,,,5.8
,MarShon Brooks,,,,73,,,,46.3,,,27.3,,,73.4,,,,,,,,,5.4
,Jerry Stackhouse,,,,37,,,,38.4,,,33.7,,,87.0,,,,,,,,,4.9
,Reggie Evans,,,,80,,,,47.9,,,N/A,,,50.9,,,,,,,,,4.5
,Keith Bogans,,,,74,,,,38.0,,,34.3,,,64.7,,,,,,,,,4.2
,Mirza Teletovic,,,,53,,,,38.4,,,34.3,,,81.8,,,,,,,,,3.5
,Tyshawn Taylor,,,,38,,,,36.8,,,46.2,,,55.6,,,,,,,,,2.2
,Tornike Shengelia,,,,19,,,,43.5,,,50.0,,,56.3,,,,,,,,,1.6
,Josh Childress,,,,14,,,,28.6,,,33.3,,,50.0,,,,,,,,,1.0
,Kris Joseph,,,,10,,,,14.3,,,0.0,,,62.5,,,,,,,,,0.9
,Damion James,,,,2,,,,N/A,,,N/A,,,N/A,,,,,,,,,0.0
,Paul Pierce,,,,77,,,,43.6,,,38.0,,,78.7,,,,,,,,,18.6
,Kevin Garnett,,,,68,,,,49.6,,,12.5,,,78.6,,,,,,,,,14.8
,Rajon Rondo,,,,38,,,,48.4,,,24.0,,,64.5,,,,,,,,,13.7
,Jeff Green,,,,81,,,,46.7,,,38.5,,,80.8,,,,,,,,,12.8
,Jordan Crawford,,,,70,,,,41.5,,,33.7,,,81.1,,,,,,,,,11.6
,Jason Terry,,,,79,,,,43.4,,,37.2,,,87.0,,,,,,,,,10.1
,Avery Bradley,,,,50,,,,40.2,,,31.7,,,75.5,,,,,,,,,9.2
,Brandon Bass,,,,81,,,,48.6,,,0.0,,,86.0,,,,,,,,,8.7
,Courtney Lee,,,,78,,,,46.4,,,37.2,,,86.1,,,,,,,,,7.8
,Jared Sullinger,,,,45,,,,49.3,,,20.0,,,74.6,,,,,,,,,6.0
,Leandro Barbosa,,,,41,,,,43.0,,,38.3,,,75.6,,,,,,,,,5.2
,Terrence Williams,,,,24,,,,49.5,,,33.3,,,42.9,,,,,,,,,4.6
,Chris Wilcox,,,,61,,,,71.9,,,0.0,,,67.2,,,,,,,,,4.2
,Shavlik Randolph,,,,16,,,,58.3,,,N/A,,,40.7,,,,,,,,,4.2
,DJ White,,,,12,,,,52.2,,,N/A,,,55.6,,,,,,,,,2.4
,Fab Melo,,,,6,,,,50.0,,,N/A,,,25.0,,,,,,,,,1.2
,Darko Milicic,,,,1,,,,0.0,,,N/A,,,N/A,,,,,,,,,0.0
,Kemba Walker,,,,82,,,,42.3,,,32.2,,,79.8,,,,,,,,,17.7
,Gerald Henderson,,,,68,,,,44.7,,,33.0,,,82.4,,,,,,,,,15.5
,Ramon Sessions,,,,61,,,,40.8,,,30.8,,,83.9,,,,,,,,,14.4
,Ben Gordon,,,,75,,,,40.8,,,38.7,,,84.3,,,,,,,,,11.2
,Byron Mullens,,,,53,,,,38.5,,,31.7,,,64.6,,,,,,,,,10.6
,Michael Kidd-Gilchrist,,,,78,,,,45.8,,,22.2,,,74.9,,,,,,,,,9.0
,Hakim Warrick,,,,28,,,,40.6,,,0.0,,,68.2,,,,,,,,,6.9
,Jannero Pargo,,,,32,,,,36.8,,,33.6,,,92.3,,,,,,,,,6.5
,Jeffery Taylor,,,,77,,,,43.1,,,34.4,,,72.8,,,,,,,,,6.1
,Josh McRoberts,,,,67,,,,45.5,,,28.6,,,76.5,,,,,,,,,6.0
,Bismack Biyombo,,,,80,,,,45.1,,,N/A,,,52.1,,,,,,,,,4.8
,Tyrus Thomas,,,,26,,,,35.3,,,37.5,,,83.9,,,,,,,,,4.8
,Jeff Adrien,,,,52,,,,42.9,,,0.0,,,65.0,,,,,,,,,4.0
,Reggie Williams,,,,40,,,,43.2,,,30.6,,,47.6,,,,,,,,,3.7
,Brendan Haywood,,,,61,,,,43.1,,,0.0,,,45.5,,,,,,,,,3.5
,Cory Higgins,,,,6,,,,31.6,,,20.0,,,50.0,,,,,,,,,2.3
,DeSagana Diop,,,,22,,,,29.6,,,0.0,,,0.0,,,,,,,,,0.7
,Matt Carroll,,,,1,,,,N/A,,,N/A,,,N/A,,,,,,,,,0.0
,Luol Deng,,,,75,,,,42.6,,,32.2,,,81.6,,,,,,,,,16.5
,Carlos Boozer,,,,79,,,,47.7,,,0.0,,,73.1,,,,,,,,,16.2
,Nate Robinson,,,,82,,,,43.3,,,40.5,,,79.9,,,,,,,,,13.1
,Joakim Noah,,,,66,,,,48.1,,,0.0,,,75.1,,,,,,,,,11.9
,Richard Hamilton,,,,50,,,,42.9,,,30.8,,,85.7,,,,,,,,,9.8
,Marco Belinelli,,,,73,,,,39.5,,,35.7,,,83.9,,,,,,,,,9.6
,Jimmy Butler,,,,82,,,,46.7,,,38.1,,,80.3,,,,,,,,,8.6
,Taj Gibson,,,,65,,,,48.5,,,0.0,,,67.9,,,,,,,,,8.0
,Kirk Hinrich,,,,60,,,,37.7,,,39.0,,,71.4,,,,,,,,,7.7
,Daequan Cook,,,,49,,,,30.5,,,28.6,,,75.0,,,,,,,,,2.8
,Nazr Mohammed,,,,63,,,,36.7,,,0.0,,,72.3,,,,,,,,,2.6
,Marquis Teague,,,,48,,,,38.1,,,17.4,,,56.3,,,,,,,,,2.1
,Malcolm Thomas,,,,12,,,,50.0,,,N/A,,,62.5,,,,,,,,,1.3
,Vladimir Radmanovic,,,,25,,,,30.2,,,18.5,,,66.7,,,,,,,,,1.3
,Kyrie Irving,,,,59,,,,45.2,,,39.1,,,85.5,,,,,,,,,22.5
,Dion Waiters,,,,61,,,,41.2,,,31.0,,,74.6,,,,,,,,,14.7
,Anderson Varejao,,,,25,,,,47.8,,,0.0,,,75.5,,,,,,,,,14.1
,Tristan Thompson,,,,82,,,,48.8,,,0.0,,,60.8,,,,,,,,,11.7
,C.J. Miles,,,,65,,,,41.5,,,38.4,,,86.9,,,,,,,,,11.2
,Alonzo Gee,,,,82,,,,41.0,,,31.5,,,79.5,,,,,,,,,10.3
,Marreese Speights,,,,79,,,,44.5,,,30.0,,,77.1,,,,,,,,,8.3
,Wayne Ellington,,,,78,,,,42.7,,,39.2,,,90.7,,,,,,,,,7.9
,Tyler Zeller,,,,77,,,,43.8,,,0.0,,,76.4,,,,,,,,,7.9
,Shaun Livingston,,,,66,,,,48.0,,,0.0,,,86.7,,,,,,,,,6.3
,Daniel Gibson,,,,46,,,,34.0,,,34.4,,,70.3,,,,,,,,,5.4
,Omri Casspi,,,,43,,,,39.4,,,32.9,,,53.7,,,,,,,,,4.0
,Luke Walton,,,,50,,,,39.2,,,29.9,,,50.0,,,,,,,,,3.4
,Samardo Samuels,,,,18,,,,36.7,,,0.0,,,58.3,,,,,,,,,3.2
,Kevin Jones,,,,32,,,,40.2,,,N/A,,,60.0,,,,,,,,,3.0
,Chris Quinn,,,,7,,,,25.0,,,0.0,,,100.0,,,,,,,,,1.4
,Dirk Nowitzki,,,,53,,,,47.1,,,41.4,,,86.0,,,,,,,,,17.3
,O.J. Mayo,,,,82,,,,44.9,,,40.7,,,82.0,,,,,,,,,15.3
,Vince Carter,,,,81,,,,43.5,,,40.6,,,81.6,,,,,,,,,13.4
,Shawn Marion,,,,67,,,,51.4,,,31.5,,,78.2,,,,,,,,,12.1
,Darren Collison,,,,81,,,,47.1,,,35.3,,,88.0,,,,,,,,,12.0
,Chris Kaman,,,,66,,,,50.7,,,0.0,,,78.8,,,,,,,,,10.5
,Brandan Wright,,,,64,,,,59.7,,,0.0,,,61.5,,,,,,,,,8.5
,Elton Brand,,,,72,,,,47.3,,,0.0,,,71.0,,,,,,,,,7.2
,Mike James,,,,45,,,,37.3,,,38.4,,,79.3,,,,,,,,,6.1
,Jae Crowder,,,,78,,,,38.4,,,32.8,,,64.4,,,,,,,,,5.0
,Troy Murphy,,,,14,,,,36.1,,,31.4,,,90.9,,,,,,,,,4.6
,Eddy Curry,,,,2,,,,50.0,,,N/A,,,25.0,,,,,,,,,4.5
,Rodrigue Beaubois,,,,45,,,,36.9,,,29.2,,,78.9,,,,,,,,,4.0
,Dominique Jones,,,,29,,,,36.7,,,11.1,,,66.0,,,,,,,,,4.0
,Anthony Morrow,,,,41,,,,44.1,,,37.2,,,90.9,,,,,,,,,4.0
,Bernard James,,,,46,,,,51.5,,,0.0,,,61.0,,,,,,,,,2.8
,Chris Douglas-Roberts,,,,6,,,,35.7,,,0.0,,,70.0,,,,,,,,,2.8
,Jared Cunningham,,,,8,,,,42.9,,,66.7,,,100.0,,,,,,,,,2.0
,Josh Akognon,,,,3,,,,50.0,,,50.0,,,N/A,,,,,,,,,1.7
,Chris Wright,,,,3,,,,50.0,,,N/A,,,N/A,,,,,,,,,0.7
,Justin Dentmon,,,,2,,,,0.0,,,N/A,,,N/A,,,,,,,,,0.0
,Ty Lawson,,,,73,,,,46.1,,,36.6,,,75.6,,,,,,,,,16.7
,Danilo Gallinari,,,,71,,,,41.8,,,37.3,,,82.2,,,,,,,,,16.2
,Wilson Chandler,,,,43,,,,46.2,,,41.3,,,79.3,,,,,,,,,13.0
,Andre Iguodala,,,,80,,,,45.1,,,31.7,,,57.4,,,,,,,,,13.0
,Corey Brewer,,,,82,,,,42.5,,,29.6,,,69.0,,,,,,,,,12.1
,Kenneth Faried,,,,80,,,,55.2,,,N/A,,,61.3,,,,,,,,,11.5
,Andre Miller,,,,82,,,,47.9,,,26.6,,,84.0,,,,,,,,,9.6
,JaVale McGee,,,,79,,,,57.5,,,100.0,,,59.1,,,,,,,,,9.1
,Kosta Koufos,,,,81,,,,58.1,,,0.0,,,55.8,,,,,,,,,8.0
,Evan Fournier,,,,38,,,,49.3,,,40.7,,,76.9,,,,,,,,,5.3
,Jordan Hamilton,,,,40,,,,41.8,,,37.0,,,50.0,,,,,,,,,5.2
,Anthony Randolph,,,,39,,,,49.1,,,0.0,,,68.9,,,,,,,,,3.7
,Timofey Mozgov,,,,41,,,,50.6,,,0.0,,,76.9,,,,,,,,,2.6
,Julyan Stone,,,,4,,,,100.0,,,N/A,,,75.0,,,,,,,,,1.8
,Quincy Miller,,,,7,,,,33.3,,,0.0,,,50.0,,,,,,,,,1.3
,Greg Monroe,,,,81,,,,48.6,,,0.0,,,68.9,,,,,,,,,16.0
,Brandon Knight,,,,75,,,,40.7,,,36.7,,,73.3,,,,,,,,,13.3
,Rodney Stuckey,,,,76,,,,40.6,,,30.2,,,78.3,,,,,,,,,11.5
,Jose Calderon,,,,73,,,,49.1,,,46.1,,,90.0,,,,,,,,,11.3
,Will Bynum,,,,65,,,,46.9,,,31.6,,,80.9,,,,,,,,,9.8
,Kyle Singler,,,,82,,,,42.8,,,35.0,,,80.6,,,,,,,,,8.8
,Andre Drummond,,,,60,,,,60.8,,,50.0,,,37.1,,,,,,,,,7.9
,Jonas Jerebko,,,,49,,,,44.9,,,30.1,,,77.3,,,,,,,,,7.7
,Jason Maxiell,,,,72,,,,44.6,,,N/A,,,62.1,,,,,,,,,6.9
,Charlie Villanueva,,,,69,,,,37.7,,,34.7,,,55.1,,,,,,,,,6.8
,Khris Middleton,,,,27,,,,44.0,,,31.1,,,84.4,,,,,,,,,6.1
,Corey Maggette,,,,18,,,,35.5,,,23.8,,,75.0,,,,,,,,,5.3
,Viacheslav Kravtsov,,,,25,,,,71.7,,,N/A,,,29.7,,,,,,,,,3.1
,Kim English,,,,41,,,,37.5,,,28.0,,,72.4,,,,,,,,,2.9
,Stephen Curry,,,,78,,,,45.1,,,45.3,,,90.0,,,,,,,,,22.9
,David Lee,,,,79,,,,51.9,,,0.0,,,79.7,,,,,,,,,18.5
,Klay Thompson,,,,82,,,,42.2,,,40.1,,,84.1,,,,,,,,,16.6
,Jarrett Jack,,,,79,,,,45.2,,,40.4,,,84.3,,,,,,,,,12.9
,Carl Landry,,,,81,,,,54.0,,,33.3,,,81.7,,,,,,,,,10.8
,Harrison Barnes,,,,81,,,,43.9,,,35.9,,,75.8,,,,,,,,,9.2
,Brandon Rush,,,,2,,,,66.7,,,0.0,,,66.7,,,,,,,,,7.0
,Andrew Bogut,,,,32,,,,45.1,,,100.0,,,50.0,,,,,,,,,5.8
,Richard Jefferson,,,,56,,,,45.6,,,31.1,,,71.7,,,,,,,,,3.1
,Draymond Green,,,,79,,,,32.7,,,20.9,,,81.8,,,,,,,,,2.9
,Festus Ezeli,,,,78,,,,43.8,,,N/A,,,53.1,,,,,,,,,2.4
,Kent Bazemore,,,,61,,,,37.1,,,29.4,,,61.4,,,,,,,,,2.0
,Andris Biedrins,,,,53,,,,47.6,,,N/A,,,30.8,,,,,,,,,0.5
,James Harden,,,,78,,,,43.8,,,36.8,,,85.1,,,,,,,,,25.9
,Chandler Parsons,,,,76,,,,48.6,,,38.5,,,72.9,,,,,,,,,15.5
,Jeremy Lin,,,,82,,,,44.1,,,33.9,,,78.5,,,,,,,,,13.4
,Carlos Delfino,,,,67,,,,40.5,,,37.5,,,85.7,,,,,,,,,10.6
,Omer Asik,,,,82,,,,54.1,,,0.0,,,56.2,,,,,,,,,10.1
,Aaron Brooks,,,,53,,,,45.3,,,37.3,,,76.9,,,,,,,,,7.1
,Greg Smith,,,,70,,,,62.0,,,0.0,,,62.3,,,,,,,,,6.0
,Donatas Motiejunas,,,,44,,,,45.5,,,28.9,,,62.7,,,,,,,,,5.7
,Patrick Beverley,,,,41,,,,41.8,,,37.5,,,82.9,,,,,,,,,5.6
,Francisco Garcia,,,,58,,,,39.3,,,37.4,,,85.7,,,,,,,,,5.5
,Terrence Jones,,,,19,,,,45.7,,,26.3,,,76.5,,,,,,,,,5.5
,Thomas Robinson,,,,70,,,,43.0,,,0.0,,,52.3,,,,,,,,,4.8
,James Anderson,,,,39,,,,41.3,,,35.0,,,85.7,,,,,,,,,3.8
,Scott Machado,,,,6,,,,50.0,,,0.0,,,100.0,,,,,,,,,1.3
,Tim Ohlbrecht,,,,3,,,,33.3,,,N/A,,,100.0,,,,,,,,,1.0
,Paul George,,,,79,,,,41.9,,,36.2,,,80.7,,,,,,,,,17.4
,David West,,,,73,,,,49.8,,,21.1,,,76.8,,,,,,,,,17.1
,George Hill,,,,76,,,,44.3,,,36.8,,,81.7,,,,,,,,,14.2
,Roy Hibbert,,,,79,,,,44.8,,,25.0,,,74.1,,,,,,,,,11.9
,Lance Stephenson,,,,78,,,,46.0,,,33.0,,,65.2,,,,,,,,,8.8
,Gerald Green,,,,60,,,,36.6,,,31.4,,,80.0,,,,,,,,,7.0
,Tyler Hansbrough,,,,81,,,,43.2,,,0.0,,,72.0,,,,,,,,,7.0
,Danny Granger,,,,5,,,,28.6,,,20.0,,,62.5,,,,,,,,,5.4
,Ian Mahinmi,,,,80,,,,45.3,,,0.0,,,60.8,,,,,,,,,5.0
,D.J. Augustin,,,,76,,,,35.0,,,35.3,,,83.8,,,,,,,,,4.7
,Orlando Johnson,,,,51,,,,40.0,,,38.3,,,71.9,,,,,,,,,4.0
,Jeff Pendergraph,,,,37,,,,48.4,,,50.0,,,91.3,,,,,,,,,3.9
,Sam Young,,,,56,,,,39.2,,,30.8,,,53.5,,,,,,,,,2.8
,Ben Hansbrough,,,,28,,,,33.3,,,26.1,,,77.8,,,,,,,,,2.0
,Dominic McGuire,,,,26,,,,42.9,,,N/A,,,30.0,,,,,,,,,2.0
,Miles Plumlee,,,,14,,,,23.8,,,N/A,,,75.0,,,,,,,,,0.9
,Blake Griffin,,,,80,,,,53.8,,,17.9,,,66.0,,,,,,,,,18.0
,Chris Paul,,,,70,,,,48.1,,,32.8,,,88.5,,,,,,,,,16.9
,Jamal Crawford,,,,76,,,,43.8,,,37.6,,,87.1,,,,,,,,,16.5
,Caron Butler,,,,78,,,,42.4,,,38.8,,,83.3,,,,,,,,,10.4
,Matt Barnes,,,,80,,,,46.2,,,34.2,,,74.4,,,,,,,,,10.3
,DeAndre Jordan,,,,82,,,,64.3,,,N/A,,,38.6,,,,,,,,,8.8
,Eric Bledsoe,,,,76,,,,44.5,,,39.7,,,79.1,,,,,,,,,8.5
,Chauncey Billups,,,,22,,,,40.2,,,36.7,,,93.8,,,,,,,,,8.4
,Willie Green,,,,72,,,,46.1,,,42.8,,,71.9,,,,,,,,,6.3
,Lamar Odom,,,,82,,,,39.9,,,20.0,,,47.6,,,,,,,,,4.0
,Ryan Hollins,,,,60,,,,61.4,,,N/A,,,75.0,,,,,,,,,3.4
,Grant Hill,,,,29,,,,38.8,,,27.3,,,58.3,,,,,,,,,3.2
,Maalik Wayns,,,,27,,,,29.5,,,22.6,,,89.5,,,,,,,,,2.8
,Ronny Turiaf,,,,65,,,,50.5,,,N/A,,,36.5,,,,,,,,,1.9
,DaJuan Summers,,,,2,,,,25.0,,,N/A,,,N/A,,,,,,,,,1.0
,Kobe Bryant,,,,78,,,,46.3,,,32.4,,,83.9,,,,,,,,,27.3
,Dwight Howard,,,,76,,,,57.8,,,16.7,,,49.2,,,,,,,,,17.1
,Pau Gasol,,,,49,,,,46.6,,,28.6,,,70.2,,,,,,,,,13.7
,Steve Nash,,,,50,,,,49.7,,,43.8,,,92.2,,,,,,,,,12.7
,Metta World Peace,,,,75,,,,40.3,,,34.2,,,73.4,,,,,,,,,12.4
,Antawn Jamison,,,,76,,,,46.4,,,36.1,,,69.1,,,,,,,,,9.4
,Jodie Meeks,,,,78,,,,38.7,,,35.7,,,89.6,,,,,,,,,7.9
,Steve Blake,,,,45,,,,42.2,,,42.1,,,77.1,,,,,,,,,7.3
,Earl Clark,,,,59,,,,44.0,,,33.7,,,69.7,,,,,,,,,7.3
,Jordan Hill,,,,29,,,,49.7,,,0.0,,,65.6,,,,,,,,,6.7
,Darius Morris,,,,48,,,,38.8,,,36.4,,,64.9,,,,,,,,,4.0
,Devin Ebanks,,,,19,,,,32.9,,,27.3,,,78.6,,,,,,,,,3.4
,Chris Duhon,,,,46,,,,38.2,,,36.3,,,46.2,,,,,,,,,2.9
,Robert Sacre,,,,32,,,,37.5,,,N/A,,,63.6,,,,,,,,,1.3
,Andrew Goudelock,,,,1,,,,0.0,,,N/A,,,N/A,,,,,,,,,0.0
,Darius Johnson-Odom,,,,4,,,,0.0,,,0.0,,,N/A,,,,,,,,,0.0
,Zach Randolph,,,,76,,,,46.0,,,8.7,,,75.0,,,,,,,,,15.4
,Mike Conley,,,,80,,,,44.0,,,36.2,,,83.0,,,,,,,,,14.6
,Marc Gasol,,,,80,,,,49.4,,,7.1,,,84.8,,,,,,,,,14.1
,Tayshaun Prince,,,,82,,,,43.8,,,40.4,,,73.8,,,,,,,,,10.4
,Tony Allen,,,,79,,,,44.5,,,12.5,,,71.7,,,,,,,,,8.9
,Jerryd Bayless,,,,80,,,,41.9,,,35.3,,,83.6,,,,,,,,,8.7
